"Name","Code","Data Type","Length","Comment","Precision","P","F","M"
"id","id","int","","主键","","X","","X"
"角色名称","role_name","varchar(100)","100","业务主键","","","",""
"角色管理员","user_Id","varchar(100)","100","该业务的管理者，一个公司只一个人","","","",""
"管理员姓名","user_name","varchar(100)","100","姓名","","","",""
"所属公司","company","varchar(100)","100","所属公司","","","",""
"是否启用","is_closed","varchar(100)","100","是否启用","","","",""
"角色描述","Descr","varchar(100)","100","需管理模块的业务描述","","","",""
"创建人","create_user","varchar(100)","100","创建人","","","",""
"创建时间","create_time","datetime","","创建时间","","","",""
"更新人工号","update_user","varchar(100)","100","更新人","","","",""
"更新时间","update_time","datetime","","修改时间","","","",""
"更新识别码","update_code","int","","修改识别码","","","",""
